#{"t_start": 1776437778.5549152, "env_id": "None"}
r,l,t,reached,grasp_success
-176.838323,100,1.068899,False,False
-187.444647,100,2.139492,False,False
-219.212986,100,3.209345,False,False
-165.513776,100,4.284899,False,False
-194.583724,100,5.356343,False,False
-136.067119,100,7.294979,False,False
-103.8786,100,9.174908,False,False
-112.098972,100,11.053591,False,False
-127.035857,100,12.911929,False,False
-86.552654,100,14.772201,False,False
-82.78319,100,16.652205,False,False
-84.637317,100,18.512729,False,False
-93.953189,100,20.393715,False,False
-92.000784,100,22.265586,False,False
118.654075,99,24.423026,True,True
-64.156995,100,26.308276,False,False
-88.611503,100,28.181347,False,False
275.744976,10,28.90794,True,True
252.071137,27,29.900656,True,True
189.641956,70,31.532524,True,True
213.499588,51,32.920002,True,True
232.988844,53,34.281038,True,True
290.961991,9,34.984012,True,True
299.003146,2,35.575197,True,True
268.173267,23,36.494612,True,True
195.177492,72,38.227272,True,True
296.191402,6,38.873625,True,True
299.0,1,39.460794,True,True
276.353665,20,40.344393,True,True
298.44251,2,40.9221,True,True
293.435649,6,41.600001,True,True
269.047398,25,42.573536,True,True
-48.56411,100,44.473973,False,False
293.800749,6,45.129049,True,True
299.0,1,45.713821,True,True
292.877805,9,46.419333,True,True
298.177987,3,47.032382,True,True
297.365005,3,47.634562,True,True
299.112517,2,48.231932,True,True
296.216253,4,48.861027,True,True
296.23583,5,49.509006,True,True
276.776635,20,50.369774,True,True
299.0,1,50.946568,True,True
298.153505,2,51.539677,True,True
297.3145,4,52.15923,True,True
-171.529263,100,54.044052,False,False
299.925662,3,54.633838,True,True
299.0,1,55.221405,True,True
-176.370204,100,57.083656,False,False
299.474949,2,57.664337,True,True
299.0,1,58.262968,True,True
293.713529,7,58.923541,True,True
299.539287,2,59.521667,True,True
299.736965,2,60.128735,True,True
300.75143,2,60.718463,True,True
299.0,1,61.293321,True,True
299.0,1,61.885626,True,True
-188.69049,100,63.753494,False,False
299.558795,2,64.289896,True,True
299.0,1,64.912522,True,True
299.0,1,65.491419,True,True
299.0,1,66.053015,True,True
296.48819,4,66.672731,True,True
299.0,1,67.271295,True,True
-248.190296,100,69.155338,False,False
299.906848,3,69.758328,True,True
299.0,1,70.319251,True,True
299.0,1,70.916599,True,True
299.450797,2,71.480498,True,True
297.684412,5,72.101094,True,True
-387.446615,100,74.018413,False,False
299.0,1,74.586259,True,True
298.493981,3,75.184956,True,True
299.0,1,75.786881,True,True
299.0,1,76.368526,True,True
299.0,1,76.946245,True,True
299.0,1,77.51343,True,True
299.646242,2,78.097726,True,True
299.636985,2,78.693492,True,True
299.0,1,79.277349,True,True
299.652607,2,79.858526,True,True
299.610836,2,80.446994,True,True
299.682549,2,81.046036,True,True
299.0,1,81.63588,True,True
299.0,1,82.209239,True,True
-351.480598,100,84.075129,False,False
299.0,1,84.635516,True,True
298.663124,2,85.234836,True,True
-235.225019,100,87.079287,False,False
299.58724,2,87.675381,True,True
299.0,1,88.241284,True,True
-190.930139,100,90.098039,False,False
299.0,1,90.709725,True,True
299.0,1,91.283922,True,True
299.0,1,91.875651,True,True
299.0,1,92.461814,True,True
299.62653,2,93.047372,True,True
-241.761839,100,94.905839,False,False
300.367744,2,95.487365,True,True
296.249409,4,96.1221,True,True
300.063957,2,96.723397,True,True
159.368085,2,97.327873,True,False
299.0,1,97.902826,True,True
299.0,1,98.495187,True,True
297.583071,3,99.089082,True,True
299.0,1,99.656093,True,True
299.0,1,100.248145,True,True
299.0,1,100.825101,True,True
299.598722,2,101.413221,True,True
299.0,1,101.994944,True,True
299.0,1,102.562479,True,True
298.690854,2,103.147429,True,True
299.0,1,103.707209,True,True
299.0,1,104.279505,True,True
299.648814,2,104.883022,True,True
299.738752,2,105.462387,True,True
299.561115,2,106.053975,True,True
299.641605,2,106.648397,True,True
-487.07988,100,108.539581,False,False
-573.432573,100,110.38882,False,False
299.0,1,110.967728,True,True
299.0,1,111.561124,True,True
