#{"t_start": 1776437133.498475, "env_id": "None"}
r,l,t,reached,grasp_success
98.73083,73,1.776082,True,True
-270.202742,100,2.862384,False,False
-172.936013,100,3.942908,False,False
-259.291417,100,5.021764,False,False
-266.769054,100,6.101162,False,False
-234.724554,100,7.708311,False,False
-145.242483,100,9.187993,False,False
-102.766928,100,10.680296,False,False
-83.262531,100,12.169001,False,False
-222.500804,100,13.644531,False,False
-159.925847,100,15.120766,False,False
-90.435374,100,16.57733,False,False
-66.638346,100,18.060044,False,False
-92.800674,100,19.52616,False,False
160.74606,50,20.663127,True,True
-159.150938,100,22.147005,False,False
185.355384,70,23.557943,True,True
-146.116596,100,25.037097,False,False
-62.826711,100,26.513853,False,False
-128.436867,100,28.0107,False,False
-209.123452,100,29.486914,False,False
-198.175204,100,30.95926,False,False
282.398647,15,31.693594,True,True
-71.554549,100,33.185768,False,False
-148.692853,100,34.681119,False,False
-184.383441,100,36.181108,False,False
-88.164549,100,37.687525,False,False
-59.582484,100,39.195297,False,False
-284.767658,100,40.68132,False,False
294.56322,5,41.294639,True,True
175.739793,83,42.856042,True,True
-199.532967,100,44.358406,False,False
-205.492434,100,45.854598,False,False
-351.661993,100,47.330923,False,False
-42.64333,100,48.834564,False,False
220.2509,60,50.138525,True,True
-202.804335,100,51.606365,False,False
-203.743835,100,53.073905,False,False
-450.696422,100,54.574374,False,False
298.324785,3,55.162975,True,True
-87.143428,100,56.642718,False,False
-199.672592,100,58.10505,False,False
299.0,1,58.691483,True,True
294.617118,6,59.323006,True,True
297.329642,4,59.934363,True,True
298.42384,3,60.535989,True,True
-450.245243,100,62.078324,False,False
298.374441,2,62.643888,True,True
298.355675,2,63.242106,True,True
297.775929,2,63.82559,True,True
-105.834077,100,65.329493,False,False
-193.206162,100,66.804384,False,False
-438.545867,100,68.304457,False,False
-179.988101,100,69.788755,False,False
-219.374618,100,71.278334,False,False
-43.67626,100,72.754633,False,False
-120.54945,100,74.231524,False,False
-180.981619,100,75.720534,False,False
-81.168246,100,77.205824,False,False
-157.704481,100,78.698849,False,False
297.861884,4,79.309036,True,True
-65.814489,100,80.794405,False,False
207.32274,63,82.10471,True,True
299.515061,2,82.692074,True,True
-233.718029,100,84.192976,False,False
-149.28148,100,85.697615,False,False
-78.303071,100,87.17459,False,False
285.959287,14,87.901244,True,True
300.790191,2,88.500469,True,True
292.921929,5,89.131115,True,True
-69.945665,100,90.630117,False,False
299.632549,3,91.235983,True,True
300.398676,2,91.825126,True,True
300.108435,2,92.409581,True,True
-95.227042,100,93.904411,False,False
-132.767656,100,95.397058,False,False
-92.125655,100,96.87553,False,False
-102.208132,100,98.357799,False,False
-65.525204,100,99.828925,False,False
-157.08927,100,101.337308,False,False
300.237187,2,101.932411,True,True
-163.106671,100,103.4676,False,False
-266.19644,100,104.960822,False,False
-162.010215,100,106.47176,False,False
-164.045245,100,107.989285,False,False
-242.502953,100,109.464602,False,False
299.521775,3,110.074119,True,True
300.264163,2,110.764737,True,True
-159.162886,100,112.295771,False,False
-142.007009,100,113.761067,False,False
298.025838,4,114.389212,True,True
286.547014,12,115.102634,True,True
272.560624,23,115.972158,True,True
-141.218018,100,117.48938,False,False
297.223711,3,118.09242,True,True
298.490953,4,118.777606,True,True
-253.941608,100,120.26593,False,False
299.0,1,120.823988,True,True
-263.594162,100,122.289001,False,False
298.423806,2,122.86712,True,True
294.735643,7,123.515115,True,True
-113.388608,100,125.021534,False,False
297.449612,5,125.647692,True,True
-96.549915,100,127.121678,False,False
-49.00598,100,128.59918,False,False
-137.122979,100,130.060353,False,False
297.677748,5,130.682494,True,True
-283.103227,100,132.183878,False,False
299.0,1,132.75244,True,True
300.745724,2,133.351653,True,True
-285.334412,100,134.885447,False,False
-83.633896,100,136.353724,False,False
294.744443,7,137.000983,True,True
-64.070499,100,138.493432,False,False
-292.084679,100,140.000097,False,False
290.182528,5,140.573905,True,True
296.327206,6,141.215188,True,True
295.042598,5,141.844613,True,True
-63.593193,100,143.348603,False,False
298.372505,4,144.00441,True,True
-45.763541,100,145.505243,False,False
150.381524,96,147.218438,True,True
291.418945,10,147.909959,True,True
-297.428502,100,149.461301,False,False
297.134776,3,150.066883,True,True
294.027573,8,150.750082,True,True
-43.012033,100,152.278952,False,False
282.846057,10,152.92321,True,True
-247.173597,100,154.400078,False,False
298.48316,4,155.013871,True,True
262.530972,24,155.869686,True,True
299.0,1,156.454607,True,True
299.0,1,157.044324,True,True
299.0,1,157.614846,True,True
-49.179196,100,159.120044,False,False
-250.696799,100,160.613055,False,False
292.200662,4,161.215468,True,True
300.526559,2,161.807904,True,True
-264.487978,100,163.289476,False,False
299.769483,3,163.898386,True,True
300.98639,2,164.485737,True,True
-278.026155,100,165.964271,False,False
-277.909287,100,167.434119,False,False
-67.833047,100,168.913662,False,False
291.75139,4,169.515843,True,True
299.760638,3,170.131255,True,True
300.852922,2,170.734102,True,True
297.405733,5,171.360259,True,True
-60.396401,100,172.882671,False,False
288.164841,6,173.50077,True,True
-35.804753,100,174.978944,False,False
252.458912,38,176.000312,True,True
288.16897,13,176.722386,True,True
115.207225,35,177.686854,True,False
-259.654182,100,179.181646,False,False
284.558821,13,179.884589,True,True
296.261132,6,180.521035,True,True
294.025859,8,181.192512,True,True
294.983381,5,181.810185,True,True
-257.045937,100,183.304783,False,False
-254.467731,100,184.802412,False,False
297.272929,3,185.389049,True,True
298.186545,2,185.954581,True,True
296.297297,3,186.543036,True,True
292.217617,4,187.119234,True,True
296.451818,3,187.709447,True,True
299.0,1,188.284643,True,True
299.0,1,188.857982,True,True
290.661737,11,189.551966,True,True
299.572454,3,190.166711,True,True
283.017389,13,190.889563,True,True
296.745082,3,191.479821,True,True
300.670502,2,192.075521,True,True
299.0,1,192.684391,True,True
287.066928,11,193.384381,True,True
293.272353,6,194.003109,True,True
296.104807,3,194.596959,True,True
299.0,1,195.170829,True,True
292.527411,4,195.764358,True,True
299.965282,3,196.364725,True,True
-253.241591,100,197.891555,False,False
292.731421,4,198.487126,True,True
299.0,1,199.076267,True,True
297.313867,3,199.676324,True,True
299.954575,3,200.286508,True,True
141.018091,2,201.135865,True,False
301.03052,2,201.723675,True,True
299.500859,3,202.331214,True,True
-243.294352,100,203.831821,False,False
300.779248,2,204.416294,True,True
299.0,1,204.991648,True,True
300.973553,2,205.590995,True,True
299.813464,3,206.200977,True,True
-243.041625,100,207.701795,False,False
-204.433437,100,209.184051,False,False
-209.366452,100,210.668402,False,False
298.401379,2,211.236823,True,True
-211.478934,100,212.712123,False,False
295.849233,2,213.282074,True,True
297.245713,4,213.878898,True,True
297.580506,5,214.51344,True,True
295.89588,5,215.139266,True,True
295.608915,5,215.753388,True,True
297.287847,3,216.347284,True,True
-203.422744,100,217.858322,False,False
295.202007,7,218.573176,True,True
291.295456,8,219.249654,True,True
299.783131,3,219.842892,True,True
298.183792,3,220.438184,True,True
295.83904,2,221.028105,True,True
299.975934,3,221.638431,True,True
298.607491,4,222.26089,True,True
297.561001,5,223.037033,True,True
296.433348,6,223.730335,True,True
296.1343,4,224.350494,True,True
299.800852,3,224.952179,True,True
278.208488,14,225.675943,True,True
291.349611,9,226.338572,True,True
300.809365,2,226.932856,True,True
297.553627,5,227.565429,True,True
301.025975,2,228.161447,True,True
300.89788,2,228.760411,True,True
299.928195,3,229.358308,True,True
-204.5765,100,230.848721,False,False
292.531451,4,231.431332,True,True
293.784236,6,232.066659,True,True
-207.501507,100,233.519335,False,False
295.525428,2,234.070163,True,True
299.0,1,234.636218,True,True
-199.620183,100,236.09183,False,False
-196.940945,100,237.566511,False,False
295.637649,2,238.14647,True,True
257.432389,37,239.175008,True,True
283.768826,10,239.843281,True,True
300.94426,2,240.440693,True,True
297.329236,5,241.066032,True,True
298.347645,3,241.659033,True,True
289.379272,10,242.336245,True,True
297.043686,4,242.939432,True,True
294.887331,7,243.600698,True,True
-193.516846,100,245.090521,False,False
296.761137,4,245.700461,True,True
-188.924025,100,247.174976,False,False
295.489144,2,247.743832,True,True
296.14789,4,248.348689,True,True
283.102788,17,249.116553,True,True
299.0,1,249.674711,True,True
292.436963,4,250.266325,True,True
301.052358,2,250.851479,True,True
295.579179,2,251.434106,True,True
299.0,1,252.019674,True,True
295.598128,2,252.605794,True,True
286.409583,8,253.248435,True,True
299.0,1,253.817235,True,True
-185.529254,100,255.310328,False,False
295.546948,2,255.860327,True,True
295.511448,2,256.423117,True,True
289.651956,6,257.051026,True,True
289.614414,6,257.672853,True,True
-184.025199,100,259.150026,False,False
292.506348,4,259.758629,True,True
298.402248,2,260.344901,True,True
295.530819,2,260.929444,True,True
297.14692,4,261.536018,True,True
289.863625,10,262.187494,True,True
299.0,1,262.764843,True,True
292.481613,4,263.362817,True,True
301.144859,2,263.95238,True,True
295.368326,2,264.521577,True,True
300.953679,2,265.104784,True,True
299.0,1,265.677507,True,True
299.686309,3,266.23847,True,True
299.903677,3,266.832697,True,True
