timesteps,reach_rate,grasp_rate,window_episodes
100,100.0,100.0,1
200,50.0,50.0,2
300,33.33333333333333,33.33333333333333,3
400,25.0,25.0,4
500,20.0,20.0,5
600,16.666666666666664,16.666666666666664,6
700,14.285714285714285,14.285714285714285,7
800,12.5,12.5,8
900,11.11111111111111,11.11111111111111,9
1000,10.0,10.0,10
1100,9.090909090909092,9.090909090909092,11
1200,8.333333333333332,8.333333333333332,12
1300,7.6923076923076925,7.6923076923076925,13
1400,7.142857142857142,7.142857142857142,14
1500,13.333333333333334,13.333333333333334,15
1600,17.647058823529413,17.647058823529413,17
1700,16.666666666666664,16.666666666666664,18
1800,15.789473684210526,15.789473684210526,19
1900,15.0,15.0,20
2000,14.285714285714285,14.285714285714285,21
2100,13.636363636363635,13.636363636363635,22
2200,17.391304347826086,17.391304347826086,23
2300,16.666666666666664,16.666666666666664,24
2400,16.0,16.0,25
2500,15.384615384615385,15.384615384615385,26
2600,14.814814814814813,14.814814814814813,27
2700,14.285714285714285,14.285714285714285,28
2800,16.666666666666664,16.666666666666664,30
2900,16.666666666666664,16.666666666666664,30
3000,16.666666666666664,16.666666666666664,30
3100,16.666666666666664,16.666666666666664,30
3200,16.666666666666664,16.666666666666664,30
3300,20.0,20.0,30
3400,20.0,20.0,30
3500,20.0,20.0,30
3600,23.333333333333332,23.333333333333332,30
3700,23.333333333333332,23.333333333333332,30
3800,33.33333333333333,33.33333333333333,30
3900,40.0,40.0,30
4000,40.0,40.0,30
4100,40.0,40.0,30
4200,36.666666666666664,36.666666666666664,30
4300,36.666666666666664,36.666666666666664,30
4400,36.666666666666664,36.666666666666664,30
4500,36.666666666666664,36.666666666666664,30
4600,36.666666666666664,36.666666666666664,30
4700,36.666666666666664,36.666666666666664,30
4800,36.666666666666664,36.666666666666664,30
4900,33.33333333333333,33.33333333333333,30
5000,33.33333333333333,33.33333333333333,30
5100,40.0,40.0,30
5200,40.0,40.0,30
5300,36.666666666666664,36.666666666666664,30
5400,43.333333333333336,43.333333333333336,30
5500,46.666666666666664,46.666666666666664,30
5600,43.333333333333336,43.333333333333336,30
5700,40.0,40.0,30
5800,40.0,40.0,30
5900,36.666666666666664,36.666666666666664,30
6000,33.33333333333333,33.33333333333333,30
6100,33.33333333333333,33.33333333333333,30
6200,33.33333333333333,33.33333333333333,30
6300,33.33333333333333,33.33333333333333,30
6400,33.33333333333333,33.33333333333333,30
6500,33.33333333333333,33.33333333333333,30
6600,40.0,40.0,30
6700,40.0,40.0,30
6800,43.333333333333336,43.333333333333336,30
6900,43.333333333333336,43.333333333333336,30
7000,46.666666666666664,46.666666666666664,30
7100,46.666666666666664,46.666666666666664,30
7200,46.666666666666664,46.666666666666664,30
7300,43.333333333333336,43.333333333333336,30
7400,40.0,40.0,30
7500,40.0,40.0,30
7600,43.333333333333336,43.333333333333336,30
7700,50.0,50.0,30
7800,46.666666666666664,46.666666666666664,30
7900,50.0,50.0,30
8000,50.0,50.0,30
8100,53.333333333333336,53.333333333333336,30
8200,56.666666666666664,56.666666666666664,30
8300,53.333333333333336,53.333333333333336,30
8400,53.333333333333336,53.333333333333336,30
8500,53.333333333333336,53.333333333333336,30
8600,53.333333333333336,53.333333333333336,30
8700,53.333333333333336,53.333333333333336,30
8800,60.0,60.0,30
8900,60.0,60.0,30
9000,63.33333333333333,63.33333333333333,30
9100,63.33333333333333,63.33333333333333,30
9200,63.33333333333333,63.33333333333333,30
9300,60.0,60.0,30
9400,63.33333333333333,63.33333333333333,30
9500,63.33333333333333,63.33333333333333,30
9600,63.33333333333333,63.33333333333333,30
9700,66.66666666666666,63.33333333333333,30
9800,70.0,66.66666666666666,30
9900,66.66666666666666,63.33333333333333,30
10000,66.66666666666666,63.33333333333333,30
10100,86.66666666666667,83.33333333333334,30
10200,90.0,86.66666666666667,30
10300,93.33333333333333,90.0,30
10400,90.0,86.66666666666667,30
10500,86.66666666666667,83.33333333333334,30
10600,83.33333333333334,80.0,30
10700,80.0,76.66666666666667,30
10800,80.0,76.66666666666667,30
10900,83.33333333333334,83.33333333333334,30
11000,83.33333333333334,83.33333333333334,30
11100,90.0,90.0,30
11200,90.0,90.0,30
11300,86.66666666666667,86.66666666666667,30
11400,86.66666666666667,86.66666666666667,30
11500,83.33333333333334,83.33333333333334,30
11600,80.0,80.0,30
11700,83.33333333333334,83.33333333333334,30
11800,83.33333333333334,83.33333333333334,30
11900,93.33333333333333,93.33333333333333,30
12000,93.33333333333333,93.33333333333333,30
